<!DOCTYPE HTML><html><head><meta charset='UTF-8'><title>transcodage</title></head><body><pre>
ancien;simple;rattachée
20099;2A099;2A099
20100;2A100;2A100
20101;2B101;2B101
20102;2B102;2B102
20103;2A103;2A103
20104;2A104;2A104
20105;2B105;2B105
20106;2B106;2B106
20107;2B107;2B107
20108;2A108;2A108
20109;2B109;2B109
20110;2B110;2B110
20111;2B111;2B111
20112;2B112;2B112
20113;2B113;2B113
20114;2A114;2A114
20115;2A115;2A115
20116;2B116;2B116
20117;2A117;2A117
20118;2A118;2A118
20119;2A119;2A119
20120;2B120;2B120
20121;2B121;2B121
20122;2B122;2B122
20123;2B123;2B123
20124;2B124;2B124
20125;2B125;2B125
20126;2B126;2B126
20127;2A127;2A127
20128;2A128;2A128
20129;2A129;2A129
20130;2A130;2A130
20131;2A131;2A131
20132;2A132;2A132
20133;2A133;2A133
20134;2B134;2B134
20135;2B135;2B135
20136;2B136;2B136
20137;2B137;2B137
20138;2B138;2B138
20139;2A139;2A139
20140;2B140;2B140
20141;2A141;2A141
20142;2A142;2A142
20143;2B143;2B143
20144;2A144;2A144
20145;2B145;2B145
20146;2A146;2A146
20147;2B147;2B147
20148;2B148;2B148
20149;2B149;2B149
20150;2B150;2B150
20151;2B167;2B167
20152;2B152;2B152
20153;2B153;2B153
20154;2A154;2A154
20155;2B155;2B155
20156;2B156;2B156
20157;2B157;2B157
20158;2A158;2A158
20159;2B159;2B159
20160;2A160;2A160
20161;2B161;2B161
20162;2B162;2B162
20163;2A163;2A163
20164;2B164;2B164
20165;2B165;2B165
20166;2B166;2B166
20167;2B167;2B167
20168;2B168;2B168
20169;2B169;2B169
20170;2B170;2B170
20171;2B171;2B171
20172;2B172;2B172
20173;2B173;2B173
20174;2A174;2A174
20175;2B175;2B175
20176;2B176;2B176
20177;2B177;2B177
20178;2B178;2B178
20179;2B179;2B179
20180;2B180;2B180
20181;2A181;2A181
20182;2B182;2B182
20183;2B183;2B183
20184;2B184;2B184
20185;2B185;2B185
20186;2A186;2A186
20187;2B187;2B187
20188;2B188;2B188
20189;2A189;2A189
20190;2B190;2B190
20191;2A191;2A191
20192;2B192;2B192
20193;2B193;2B193
20194;2B194;2B194
20195;2B195;2B195
20196;2A196;2A196
20197;2A197;2A197
20198;2A198;2A198
20199;2B199;2B199
20200;2A200;2A200
20201;2B201;2B201
20202;2B202;2B202
20203;2A203;2A203
20204;2A204;2A204
20205;2B205;2B205
20206;2B206;2B206
20207;2B207;2B207
20208;2B208;2B208
20209;2A209;2A209
20210;2B210;2B210
20211;2A211;2A211
20212;2A212;2A212
20213;2B213;2B213
20214;2B214;2B214
20215;2A215;2A215
20216;2B216;2B216
20217;2B217;2B217
20218;2B218;2B218
20219;2B219;2B219
20220;2B220;2B220
20221;2B221;2B221
20222;2B222;2B222
20223;2B223;2B223
20224;2B224;2B224
20225;2B225;2B225
20226;2B226;2B226
20227;2B227;2B227
20228;2A228;2A228
20229;2B229;2B229
20230;2B230;2B230
20231;2B231;2B231
20232;2A232;2A232
20233;2B233;2B233
20234;2B234;2B234
20235;2B235;2B235
20236;2B236;2B236
20237;2A308;2A308
20238;2B238;2B238
20239;2B239;2B239
20240;2A240;2A240
20241;2B241;2B241
20242;2B242;2B242
20243;2B243;2B243
20244;2B244;2B244
20245;2B245;2B245
20246;2B246;2B246
20247;2A247;2A247
20248;2B248;2B248
20249;2A249;2A249
20250;2B250;2B250
20251;2B251;2B251
20252;2B252;2B252
20253;2A253;2A253
20254;2A254;2A254
20255;2B255;2B255
20256;2B256;2B256
20257;2B257;2B257
20258;2A258;2A258
20259;2A259;2A259
20260;2B260;2B260
20261;2B261;2B261
20262;2A262;2A262
20263;2B263;2B263
20264;2B264;2B264
20265;2B265;2B265
20266;2A266;2A266
20267;2B267;2B267
20268;2A268;2A268
20269;2A269;2A269
20270;2A270;2A270
20271;2A271;2A271
20272;2A272;2A272
20273;2B273;2B273
20274;2B274;2B274
20275;2B275;2B275
20276;2A276;2A276
20277;2B277;2B277
20278;2A278;2A278
20279;2A279;2A279
20280;2B280;2B280
20281;2B281;2B281
20282;2A282;2A282
20283;2B283;2B283
20284;2A284;2A284
20285;2A285;2A285
20286;2B286;2B286
20287;2B287;2B287
20288;2A288;2A288
20289;2B289;2B289
20290;2B290;2B290
20291;2B291;2B291
20292;2B292;2B292
20293;2B293;2B293
20294;2A308;2A308
20295;2A295;2A295
20296;2B296;2B296
20297;2B297;2B297
20298;2B298;2B298
20299;2B299;2B299
20300;2A300;2A300
20301;2B301;2B301
20302;2B302;2B302
20303;2B303;2B303
20304;2B304;2B304
20305;2B305;2B305
20306;2B306;2B306
20307;2B307;2B307
20308;2A308;2A308
20309;2B309;2B309
20310;2A310;2A310
20311;2B311;2B311
20312;2A312;2A312
20313;2B313;2B313
20314;2B314;2B314
20315;2B315;2B315
20316;2B316;2B316
20317;2B317;2B317
20318;2B318;2B318
20319;2B319;2B319
20320;2B320;2B320
20321;2B321;2B321
20322;2A322;2A322
20323;2A323;2A323
20324;2A324;2A324
20325;2A249;2A249
20326;2A326;2A326
20327;2B327;2B327
20328;2B328;2B328
20329;2B329;2B329
20330;2A330;2A330
20331;2A331;2A331
20332;2B332;2B332
20333;2B333;2B333
20334;2B334;2B334
20335;2B335;2B335
20336;2A336;2A336
20337;2B337;2B337
20338;2B338;2B338
20339;2B339;2B339
20340;2B340;2B340
20341;2B341;2B341
20342;2B342;2B342
20343;2B343;2B343
20344;2B344;2B344
20345;2A345;2A345
20346;2B346;2B346
20347;2B347;2B347
20348;2A348;2A348
20349;2A349;2A349
20350;2B350;2B350
20351;2A351;2A351
20352;2B352;2B352
20353;2B353;2B353
20354;2B354;2B354
20355;2B355;2B355
20356;2B356;2B356
20357;2A357;2A357
20358;2A358;2A358
20359;2A359;2A359
20360;2A360;2A360
20361;2B361;2B361
20362;2A362;2A362
20363;2A363;2A363
20364;2B364;2B364
20365;2B365;2B365
20366;2B366;2B366
21019;21060;21060
21073;21272;21073
21174;21461;21461
21188;21464;21464
21206;21158;21158
21213;21452;21213
21318;21327;21318
21443;21433;21443
21453;21304;21453
21486;21352;21486
21507;21183;21507
21509;21506;21506
21513;21178;21513
21551;21084;21084
21621;21623;21621
21654;21408;21408
21658;21195;21195
21668;21667;21667
21697;21433;21697
22007;22055;22007
22010;22266;22266
22017;22113;22113
22022;22113;22113
22038;22206;22038
22051;22084;22051
22058;22183;22058
22066;22046;22066
22078;22264;22078
22080;22203;22080
22089;22162;22162
22100;22219;22100
22102;22046;22102
